, ,
. .
. ?
: :
: ;
CC But
CC and
CC but
CD Five
CD One
CD Two
CD five
CD one
CD seven
CD two
DT The
DT a
DT all
DT both
DT every
DT no
DT some
DT the
DT this
EX There
EX there
FW beaverskin
IN As
IN For
IN If
IN In
IN On
IN Through
IN about
IN above
IN after
IN although
IN around
IN as
IN at
IN banner
IN because
IN during
IN for
IN from
IN if
IN in
IN into
IN like
IN of
IN off
IN on
IN out
IN since
IN that
IN though
IN through
IN under
IN up
IN with
IN without
JJ Good
JJ Many
JJ Out
JJ able
JJ afraid
JJ back
JJ bloody
JJ charm
JJ chatter
JJ cold
JJ common
JJ crowd
JJ delicious
JJ different
JJ difficult
JJ disappeared
JJ enormous
JJ excitement
JJ fixed
JJ free
JJ full
JJ fur
JJ good
JJ gray
JJ great
JJ hard
JJ high
JJ impossible
JJ lake
JJ large
JJ little
JJ loud
JJ lucky
JJ lurch
JJ middle
JJ much
JJ next
JJ noisy
JJ nonstop
JJ opposite
JJ performed
JJ read
JJ realize
JJ saved
JJ scored
JJ second
JJ serious
JJ shot
JJ showed
JJ sixth
JJ sudden
JJ teams
JJ top
JJ tricky
JJ turned
JJ underneath
JJ vanish
JJ versus
JJ whistle
JJ whole
JJS fastest
MD could
MD might
MD should
MD would
NN Quidditch
NN air
NN answer
NN anyone
NN ask
NN become
NN beneath
NN blast
NN blood
NN book
NN breath
NN broom
NN catch
NN championship
NN clamber
NN confusion
NN corner
NN coulda
NN course
NN everyone
NN eye
NN fall
NN fan
NN field
NN fire
NN forward
NN friend
NN game
NN goal
NN gold
NN ground
NN hand
NN hang
NN heard
NN heart
NN hold
NN house
NN icy
NN inside
NN job
NN know
NN lent
NN lion
NN longer
NN luck
NN match
NN mind
NN moleskin
NN morning
NN mountain
NN move
NN muttering
NN nicer
NN none
NN outta
NN overcoat
NN paint
NN place
NN play
NN playing
NN rabbit
NN restless
NN roll
NN room
NN row
NN rush
NN school
NN season
NN sight
NN sign
NN silence
NN silver
NN smallest
NN smell
NN split
NN spoke
NN staffroom
NN staring
NN steel
NN streak
NN surprise
NN thirty
NN thought
NN tomorrow
NN troll
NN truth
NN try
NN turn
NN violent
NN warm
NN way
NN weapon
NN window
NN worth
NN year
NNP A
NNP Ages
NNP Captain
NNP Cup
NNP Dean
NNP Desert
NNP Every
NNP Fifteen
NNP Filch
NNP Flint
NNP Getting
NNP Golden
NNP Great
NNP Gryffindor
NNP Hagrid
NNP Hall
NNP Ham
NNP Harry
NNP Hermione
NNP Higgs
NNP Hooch
NNP Lee
NNP Madam
NNP Marcus
NNP Neville
NNP Nimbus
NNP Nothing
NNP November
NNP Potter
NNP President
NNP Quaffle
NNP Ron
NNP Sahara
NNP Saturday
NNP Scabbers
NNP Seamus
NNP Seeker
NNP Seekers
NNP Slytherin
NNP Snape
NNP Snitch
NNP Terence
NNP Thousands
NNP Up
NNP Way
NNP West
NNP Wood
NNP World
NNS accidents
NNS backs
NNS binoculars
NNS boots
NNS brooms
NNS broomsticks
NNS cheerful
NNS colors
NNS eyes
NNS gloves
NNS knees
NNS months
NNS mountains
NNS movements
NNS nerves
NNS people
NNS players
NNS points
NNS posts
NNS referees
NNS robes
NNS rules
NNS sausages
NNS seats
NNS see
NNS sheets
NNS students
NNS times
NNS upstairs
NNS ways
NNS weeks
NNS windows
PRP He
PRP I
PRP It
PRP She
PRP They
PRP he
PRP him
PRP it
PRP she
PRP them
PRP they
PRP you
PRP$ His
PRP$ her
PRP$ his
PRP$ their
PRP$ weather
RB Hardly
RB Now
RB Perhaps
RB Then
RB again
RB almost
RB alone
RB also
RB angrily
RB away
RB bit
RB braver
RB down
RB downward
RB enough
RB first
RB just
RB long
RB not
RB now
RB obviously
RB once
RB only
RB particularly
RB perhaps
RB rarely
RB really
RB slowly
RB so
RB sometimes
RB still
RB suddenly
RB then
RB tightly
RB together
RB too
RB usually
RB very
RB well
RB yard
RBR higher
RBR later
RBR legs
RBR lower
RBR more
RBS most
RP over
TO to
VB 1473
VB be
VB decide
VB foul
VB happen
VB stood
VB throat
VBD became
VBD bright
VBD buck
VBD bundled
VBD covered
VBD dawned
VBD decided
VBD did
VBD died
VBD dived
VBD dropped
VBD entered
VBD fell
VBD felt
VBD flashed
VBD fried
VBD gasped
VBD gave
VBD had
VBD happened
VBD hundred
VBD joined
VBD kept
VBD knocked
VBD left
VBD limped
VBD looked
VBD mangled
VBD noticed
VBD ordered
VBD raised
VBD rose
VBD ruined
VBD said
VBD sat
VBD saw
VBD seemed
VBD sprinted
VBD stared
VBD started
VBD told
VBD took
VBD unseated
VBD wanted
VBD was
VBD went
VBD were
VBD won
VBG breaking
VBG carrying
VBG commentating
VBG committing
VBG dangling
VBG defrosting
VBG drawing
VBG evening
VBG flashing
VBG fluttering
VBG frightening
VBG getting
VBG gliding
VBG going
VBG handing
VBG holding
VBG hoping
VBG interesting
VBG jerking
VBG limping
VBG looking
VBG making
VBG managing
VBG noticing
VBG refereeing
VBG speaking
VBG squinting
VBG standing
VBG swishing
VBG training
VBG trying
VBG twitching
VBG vibrating
VBG waiting
VBG zigzagging
VBN been
VBN begun
VBN chilled
VBN circled
VBN cleared
VBN crossed
VBN done
VBN frost
VBN gripped
VBN gulped
VBN known
VBN learned
VBN made
VBN painted
VBN relaxed
VBN secret
VBN seen
VBN seized
VBN skipped
VBP bandages
VBP have
VBP take
VBP yelp
VBZ hands
VBZ riders
VBZ seconds
VBZ stands
WDT which
WP what
WP who
WRB Why
WRB when
